Date,Teams,Opposition,Venue,Toss_Winner,Toss_Decision,Match_Winner,Win_Type,Win_Margin,First_Innings_Score,Second_Innings_Score,Player_of_Match,Umpire,Umpire1,Umpire2,Powerplay_Scores,Middle_Overs_Scores,Death_Overs_Scores
4/18/2008,RCB,Kolkata,M Chinnaswamy Stadium,RCB,field,Kolkata,runs,140,222,82,BB McCullum,Asad Rauf,RE Koertzen,J Srinath,61,97,64
4/19/2008,Punjab,Chennai,"Punjab Cricket Association Stadium, Mohali",Chennai,bat,Chennai,runs,33,240,207,MEK Hussey,MR Benson,SL Shastri,S Venkataraghavan,53,116,71
4/19/2008,Delhi,Rajasthan,Feroz Shah Kotla,Rajasthan,bat,Delhi,wickets,9,129,132,MF Maharoof,Aleem Dar,GA Pratapkumar,GR Viswanath,40,66,23
4/20/2008,Mumbai,RCB,Wankhede Stadium,Mumbai,bat,RCB,wickets,5,165,166,MV Boucher,SJ Davis,DJ Harper,J Srinath,47,71,47
4/20/2008,Kolkata,Delhi,Eden Gardens,Delhi,bat,Kolkata,wickets,5,110,112,DJ Hussey,BF Bowden,K Hariharan,FM Engineer,39,43,28
4/21/2008,Rajasthan,Punjab,Sawai Mansingh Stadium,Punjab,bat,Rajasthan,wickets,6,166,168,SR Watson,Aleem Dar,RB Tiffin,S Venkataraghavan,54,74,38
4/22/2008,Delhi,Delhi,"Rajiv Gandhi International Stadium, Uppal",Delhi,bat,Delhi,wickets,9,142,143,V Sehwag,IL Howell,AM Saheba,Talat Ali,25,57,60
4/23/2008,Chennai,Mumbai,"MA Chidambaram Stadium, Chepauk",Mumbai,field,Chennai,runs,6,208,202,ML Hayden,DJ Harper,GA Pratapkumar,FM Engineer,53,105,50
4/24/2008,Delhi,Rajasthan,"Rajiv Gandhi International Stadium, Uppal",Rajasthan,field,Rajasthan,wickets,3,214,217,YK Pathan,Asad Rauf,MR Benson,S Venkataraghavan,58,102,54
4/25/2008,Punjab,Mumbai,"Punjab Cricket Association Stadium, Mohali",Mumbai,field,Punjab,runs,66,182,116,KC Sangakkara,Aleem Dar,AM Saheba,FM Engineer,60,86,36
4/26/2008,RCB,Rajasthan,M Chinnaswamy Stadium,Rajasthan,field,Rajasthan,wickets,7,135,138,SR Watson,MR Benson,IL Howell,J Srinath,57,51,27
4/26/2008,Chennai,Kolkata,"MA Chidambaram Stadium, Chepauk",Kolkata,bat,Chennai,wickets,9,147,152,JDP Oram,BF Bowden,AV Jayaprakash,Talat Ali,61,47,39
4/27/2008,Mumbai,Chargers,Dr DY Patil Sports Academy,Delhi,field,Delhi,wickets,10,154,155,AC Gilchrist,Asad Rauf,SL Shastri,S Venkataraghavan,27,87,40
4/27/2008,Punjab,Delhi,"Punjab Cricket Association Stadium, Mohali",Delhi,bat,Punjab,wickets,4,158,162,SM Katich,RE Koertzen,I Shivram,FM Engineer,45,77,36
4/28/2008,RCB,Chennai,M Chinnaswamy Stadium,Chennai,bat,Chennai,runs,13,178,165,MS Dhoni,BR Doctrove,RB Tiffin,J Srinath,36,80,62
4/29/2008,Kolkata,Mumbai,Eden Gardens,Kolkata,bat,Mumbai,wickets,7,137,138,ST Jayasuriya,BF Bowden,AV Jayaprakash,S Venkataraghavan,40,53,44
4/30/2008,Delhi,RCB,Feroz Shah Kotla,RCB,field,Delhi,runs,10,191,181,GD McGrath,Aleem Dar,I Shivram,CH Lloyd,58,101,32
05-01-2008,Delhi,Punjab,"Rajiv Gandhi International Stadium, Uppal",Punjab,field,Punjab,wickets,7,164,167,SE Marsh,BR Doctrove,RB Tiffin,Talat Ali,50,69,45
05-01-2008,Rajasthan,Kolkata,Sawai Mansingh Stadium,Rajasthan,bat,Rajasthan,runs,45,196,151,SA Asnodkar,RE Koertzen,GA Pratapkumar,FM Engineer,45,111,40
05-02-2008,Chennai,Delhi,"MA Chidambaram Stadium, Chepauk",Chennai,bat,Delhi,wickets,8,169,172,V Sehwag,BF Bowden,K Hariharan,S Venkataraghavan,47,80,42
5/25/2008,Delhi,RCB,"Rajiv Gandhi International Stadium, Uppal",Delhi,bat,RCB,wickets,5,165,171,R Vinay Kumar,Asad Rauf,RE Koertzen,Talat Ali,41,90,34
05-03-2008,Punjab,Kolkata,"Punjab Cricket Association Stadium, Mohali",Punjab,bat,Punjab,runs,9,178,169,IK Pathan,DJ Harper,I Shivram,CH Lloyd,49,79,50
05-04-2008,Mumbai,Delhi,Dr DY Patil Sports Academy,Delhi,field,Mumbai,runs,29,162,133,SM Pollock,IL Howell,RE Koertzen,J Srinath,50,68,44
05-04-2008,Rajasthan,Chennai,Sawai Mansingh Stadium,Chennai,bat,Rajasthan,wickets,8,109,110,Sohail Tanvir,Asad Rauf,AV Jayaprakash,FM Engineer,38,58,13
05-05-2008,RCB,Punjab,M Chinnaswamy Stadium,Punjab,field,Punjab,wickets,6,126,127,S Sreesanth,SJ Davis,BR Doctrove,CH Lloyd,26,76,24
05-06-2008,Chennai,Delhi,"MA Chidambaram Stadium, Chepauk",Delhi,field,Delhi,wickets,7,144,148,AC Gilchrist,MR Benson,RB Tiffin,J Srinath,34,61,49
05-07-2008,Mumbai,Rajasthan,Dr DY Patil Sports Academy,Mumbai,field,Mumbai,wickets,7,103,104,A Nehra,DJ Harper,RE Koertzen,Talat Ali,48,55,0
05-08-2008,Delhi,Chennai,Feroz Shah Kotla,Chennai,field,Chennai,wickets,4,187,188,MS Dhoni,Aleem Dar,RB Tiffin,CH Lloyd,50,89,48
05-08-2008,Kolkata,RCB,Eden Gardens,Kolkata,bat,Kolkata,runs,5,129,124,SC Ganguly,Asad Rauf,IL Howell,FM Engineer,41,88,0
05-09-2008,Rajasthan,Chargers,Sawai Mansingh Stadium,Rajasthan,field,Rajasthan,wickets,8,140,141,YK Pathan,MR Benson,AM Saheba,S Venkataraghavan,50,55,35
5/28/2008,RCB,Mumbai,M Chinnaswamy Stadium,Mumbai,field,Mumbai,wickets,9,122,126,CRD Fernando,BF Bowden,AV Jayaprakash,CH Lloyd,36,68,18
05-10-2008,Chennai,Punjab,"MA Chidambaram Stadium, Chepauk",Punjab,field,Chennai,runs,18,181,163,L Balaji,AV Jayaprakash,BG Jerling,J Srinath,53,96,32
05-11-2008,Delhi,Kolkata,"Rajiv Gandhi International Stadium, Uppal",Kolkata,bat,Kolkata,runs,23,204,181,SC Ganguly,IL Howell,AM Saheba,Talat Ali,43,93,68
05-11-2008,Rajasthan,Delhi,Sawai Mansingh Stadium,Rajasthan,field,Rajasthan,wickets,3,156,159,SR Watson,SJ Davis,RE Koertzen,FM Engineer,47,54,55
05-12-2008,Punjab,RCB,"Punjab Cricket Association Stadium, Mohali",RCB,bat,Punjab,wickets,9,143,144,SE Marsh,BR Doctrove,I Shivram,CH Lloyd,50,68,25
5/13/2008,Kolkata,Delhi,Eden Gardens,Kolkata,bat,Kolkata,runs,23,133,110,Shoaib Akhtar,Asad Rauf,IL Howell,Talat Ali,35,69,29
5/14/2008,Mumbai,Chennai,Wankhede Stadium,Mumbai,field,Mumbai,wickets,9,156,158,ST Jayasuriya,BR Doctrove,AM Saheba,J Srinath,28,74,54
5/28/2008,Punjab,Rajasthan,"Punjab Cricket Association Stadium, Mohali",Rajasthan,field,Punjab,runs,41,221,180,SE Marsh,SJ Davis,K Hariharan,S Venkataraghavan,51,100,70
5/15/2008,Delhi,Chargers,Feroz Shah Kotla,Delhi,field,Delhi,runs,12,194,182,A Mishra,BG Jerling,GA Pratapkumar,CH Lloyd,48,98,48
5/16/2008,Mumbai,Kolkata,Wankhede Stadium,Mumbai,field,Mumbai,wickets,8,67,68,SM Pollock,BR Doctrove,DJ Harper,FM Engineer,27,40,0
5/17/2008,Delhi,Punjab,Feroz Shah Kotla,Delhi,bat,Punjab,runs,6,118,94,DPMD Jayawardene,AV Jayaprakash,RE Koertzen,CH Lloyd,68,50,0
5/17/2008,Rajasthan,RCB,Sawai Mansingh Stadium,RCB,field,Rajasthan,runs,65,197,132,GC Smith,BF Bowden,SL Shastri,Talat Ali,51,100,46
5/18/2008,Delhi,Mumbai,"Rajiv Gandhi International Stadium, Uppal",Delhi,field,Mumbai,runs,25,178,153,DJ Bravo,BR Doctrove,DJ Harper,S Venkataraghavan,57,71,50
5/18/2008,Kolkata,Chennai,Eden Gardens,Kolkata,bat,Chennai,runs,3,149,55,M Ntini,Asad Rauf,K Hariharan,FM Engineer,35,79,35
5/19/2008,RCB,Delhi,M Chinnaswamy Stadium,Delhi,field,Delhi,wickets,5,154,158,SP Goswami,SJ Davis,GA Pratapkumar,Talat Ali,41,64,49
5/20/2008,Kolkata,Rajasthan,Eden Gardens,Rajasthan,field,Rajasthan,wickets,6,147,150,YK Pathan,BG Jerling,RE Koertzen,FM Engineer,32,74,41
5/21/2008,Mumbai,Punjab,Wankhede Stadium,Mumbai,field,Punjab,runs,1,189,188,SE Marsh,BF Bowden,GA Pratapkumar,Talat Ali,43,96,50
5/21/2008,Chennai,RCB,"MA Chidambaram Stadium, Chepauk",RCB,bat,RCB,runs,14,126,112,A Kumble,DJ Harper,I Shivram,J Srinath,23,64,39
5/23/2008,Punjab,Delhi,"Punjab Cricket Association Stadium, Mohali",Punjab,field,Punjab,wickets,6,175,178,SE Marsh,Asad Rauf,SJ Davis,Talat Ali,42,80,53
5/24/2008,Delhi,Mumbai,Feroz Shah Kotla,Delhi,field,Delhi,wickets,5,176,179,KD Karthik,BF Bowden,K Hariharan,CH Lloyd,60,68,48
5/24/2008,Chennai,Rajasthan,"MA Chidambaram Stadium, Chepauk",Rajasthan,bat,Rajasthan,runs,10,211,201,JA Morkel,DJ Harper,SL Shastri,J Srinath,67,107,37
05-03-2008,RCB,Delhi,M Chinnaswamy Stadium,Delhi,field,RCB,runs,3,156,153,P Kumar,BR Doctrove,SL Shastri,Talat Ali,46,76,34
5/25/2008,Kolkata,Punjab,Eden Gardens,Punjab,bat,Kolkata,wickets,3,174,175,Umar Gul,SJ Davis,I Shivram,S Venkataraghavan,47,93,34
5/26/2008,Rajasthan,Mumbai,Sawai Mansingh Stadium,Rajasthan,field,Rajasthan,wickets,5,145,146,Sohail Tanvir,BF Bowden,K Hariharan,CH Lloyd,29,77,39
5/27/2008,Delhi,Chennai,"Rajiv Gandhi International Stadium, Uppal",Delhi,bat,Chennai,wickets,7,147,148,SK Raina,BG Jerling,AM Saheba,Talat Ali,26,78,43
5/30/2008,Delhi,Rajasthan,Wankhede Stadium,Delhi,field,Rajasthan,runs,105,192,87,SR Watson,BF Bowden,RE Koertzen,J Srinath,58,97,37
5/31/2008,Chennai,Punjab,Wankhede Stadium,Punjab,bat,Chennai,wickets,9,112,116,M Ntini,Asad Rauf,DJ Harper,S Venkataraghavan,35,38,39
06-01-2008,Chennai,Rajasthan,Dr DY Patil Sports Academy,Rajasthan,field,Rajasthan,wickets,3,163,164,YK Pathan,BF Bowden,RE Koertzen,J Srinath,42,85,36
